experiment,model,seed,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS slowloris,FTP-Patator,Infiltration,PortScan,SSH-Patator,Web Attack – Brute Force,Web Attack – Sql Injection,Web Attack – XSS
group_split,SVM (group),2,0.911,0.0009,0.9202,0.6314,0.1887,0.4403,0.8009,,0.318,0.2692,0.6066,0.0,0.0
group_split,RF (group),2,0.9992,0.6154,0.9985,0.9914,0.9397,0.9966,0.9953,,0.9634,0.9966,0.7443,0.25,0.3462
group_split,MLP (group),2,0.9586,0.04,0.9716,0.7606,0.2074,0.691,0.7703,,0.2915,0.7197,0.4675,0.0,0.3896
group_split,Image-CNN (group),2,0.8946,0.0241,0.9222,0.7157,0.1281,0.3987,0.4972,,0.5939,0.164,0.5642,0.0,0.0
group_split,LSTM (group),2,0.9984,0.0,0.991,0.982,0.9792,0.9864,0.9534,,0.4345,0.9292,0.7492,0.7368,0.5693
group_split,GRU (group),2,0.9987,0.0,0.9962,0.9899,0.981,0.9915,0.9602,,0.7323,0.919,0.8039,0.6316,0.5556
group_split,1D-CNN (group),2,0.9992,0.0,0.9912,0.9464,0.973,0.9832,0.979,,0.4324,0.9924,0.7147,0.1667,0.5324
group_split,Transformer (group),2,0.9921,0.0,0.9786,0.8642,0.9651,0.8752,0.8808,,0.7733,0.5177,0.51,0.0,0.0
group_split,Transformer-small (group),2,0.9789,0.0,0.988,0.7345,0.5595,0.8885,0.0,,0.187,0.0,0.2504,0.0,0.0269
group_split,SVM (group),42,0.91,0.0015,0.9187,0.6521,0.1659,0.443,0.8033,0.0,0.2602,0.2529,0.5485,0.0109,0.0
group_split,RF (group),42,0.9992,0.6667,0.999,0.9947,0.9345,1.0,0.9956,0.0,0.9697,0.9928,0.7316,0.0,0.3559
group_split,MLP (group),42,0.9612,0.1053,0.938,0.7934,0.2049,0.8437,0.8045,0.0,0.5411,0.6915,0.5134,0.0317,0.3167
group_split,Image-CNN (group),42,0.94,0.0976,0.9527,0.775,0.1979,0.7262,0.7464,0.0,0.2904,0.2553,0.0334,0.0,0.4113
group_split,LSTM (group),42,0.999,0.0385,0.9981,0.994,0.9905,0.9952,0.9975,0.0,0.7843,0.9343,0.8391,0.1818,0.5714
group_split,GRU (group),42,0.9979,0.0241,0.996,0.9917,0.9791,0.9921,0.9663,0.0,0.6506,0.8896,0.8425,0.1429,0.6358
group_split,1D-CNN (group),42,0.9993,0.3077,0.9954,0.9955,0.979,0.9984,0.9931,0.0,0.6984,0.9796,0.7917,0.2857,0.431
group_split,Transformer (group),42,0.9845,0.0,0.9488,0.9572,0.9805,0.9968,0.9298,0.0,0.0938,0.9103,0.7978,0.0,0.0
group_split,Transformer-small (group),42,0.9778,0.0,0.9692,0.9792,0.888,0.3728,0.0,0.0,0.051,0.0,0.2609,0.0,0.0225
group_split,SVM (group),123,0.9253,0.0019,0.9219,0.665,0.1764,0.4103,0.7835,0.0,0.2686,0.2451,0.5333,0.0,0.0252
group_split,RF (group),123,0.9991,0.8333,0.9992,0.9928,0.9108,0.9962,0.9961,0.0,0.9762,0.9921,0.7393,0.25,0.3731
group_split,MLP (group),123,0.9688,0.0183,0.9864,0.9133,0.2232,0.8548,0.7983,0.0,0.6292,0.7357,0.3279,0.0,0.4444
group_split,Image-CNN (group),123,0.9259,0.0134,0.9652,0.6938,0.177,0.4274,0.4802,0.0,0.425,0.1928,0.5,0.0,0.2646
group_split,LSTM (group),123,0.9985,0.01,0.9972,0.9914,0.9824,0.9904,0.9948,0.0,0.8027,0.9643,0.8443,0.6667,0.6957
group_split,GRU (group),123,0.9954,0.0142,0.9967,0.9858,0.9628,0.9829,0.9383,0.0,0.5666,0.6655,0.7817,0.6667,0.6703
group_split,1D-CNN (group),123,0.9987,0.0317,0.9944,0.9786,0.9791,0.97,0.9416,0.0,0.6774,0.9551,0.7963,0.6667,0.7143
group_split,Transformer (group),123,0.9792,0.0,0.9604,0.7883,0.8646,0.8567,0.9349,0.0,0.1335,0.0022,0.3249,0.0,0.0
group_split,Transformer-small (group),123,0.9441,0.0,0.9599,0.1709,0.6954,0.4561,0.4254,0.0,0.359,0.7513,0.4968,0.0,0.1281
