experiment,model,seed,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS slowloris,FTP-Patator,Infiltration,PortScan,SSH-Patator,Web Attack – Brute Force,Web Attack – Sql Injection,Web Attack – XSS
group_split,SVM (group),2,0.8369,0.3333,0.9986,0.9594,0.9743,0.966,0.9947,,0.5417,0.9933,0.8706,0.0,0.0
group_split,RF (group),2,0.9987,0.6667,0.9997,0.9971,0.9807,0.9966,0.9987,,0.9583,0.9949,0.7706,0.1429,0.3673
group_split,MLP (group),2,0.9206,0.3333,0.9987,0.9855,1.0,0.9966,0.9907,,0.9062,0.9899,0.5706,0.0,0.6122
group_split,Image-CNN (group),2,0.8094,0.3333,0.9909,0.9797,0.9769,0.8197,0.9947,,0.9062,0.9933,0.9176,0.0,0.0
group_split,LSTM (group),2,0.997,0.0,0.9842,0.987,0.9961,0.9898,0.996,,0.8125,0.9949,0.7118,1.0,0.7959
group_split,GRU (group),2,0.9976,0.0,0.9942,0.9928,0.9936,0.9966,0.9973,,0.9688,0.9933,0.7235,0.8571,0.8163
group_split,1D-CNN (group),2,0.9985,0.0,0.9835,0.9971,0.9949,0.9932,0.996,,0.75,0.9882,0.7,0.1429,0.7551
group_split,Transformer (group),2,0.9844,0.0,0.9701,0.9913,0.9961,0.9898,1.0,,0.9062,0.9949,0.9706,0.0,0.0
group_split,Transformer-small (group),2,0.9652,0.0,0.9851,0.9841,0.9884,0.9898,0.0,,0.8958,0.0,0.9176,0.0,0.2857
group_split,SVM (group),42,0.8351,0.75,0.9986,0.9742,0.9868,0.9872,0.9962,0.0,0.5714,0.9928,0.875,1.0,0.0
group_split,RF (group),42,0.9986,0.75,0.9993,1.0,0.9971,1.0,0.9962,0.0,0.9524,0.9928,0.8158,0.0,0.3333
group_split,MLP (group),42,0.9254,0.5,0.9986,0.9864,0.9985,1.0,0.9911,0.0,0.9405,0.9856,0.7566,1.0,0.3016
group_split,Image-CNN (group),42,0.8872,0.5,0.9957,0.9939,0.9956,1.0,0.9962,0.0,0.9405,0.9928,0.1579,0.0,0.9206
group_split,LSTM (group),42,0.998,0.5,0.9976,0.997,0.9956,0.9904,1.0,0.0,0.9524,0.9982,0.875,1.0,0.5079
group_split,GRU (group),42,0.9959,0.5,0.9946,0.997,0.9985,1.0,0.9987,0.0,0.9643,0.9928,0.8092,1.0,0.7619
group_split,1D-CNN (group),42,0.9987,0.5,0.9969,0.9955,0.9941,1.0,1.0,0.0,0.7857,0.9928,0.875,1.0,0.3968
group_split,Transformer (group),42,0.9697,0.0,0.9958,1.0,0.9971,1.0,0.9987,0.0,0.9762,0.9856,0.9605,0.0,0.0
group_split,Transformer-small (group),42,0.9599,0.0,0.9963,0.997,0.9559,1.0,0.0,0.0,0.9167,0.0,0.9605,0.0,0.0159
group_split,SVM (group),123,0.8613,0.1667,0.9986,0.9669,0.9669,0.9808,0.9961,0.0,0.5078,0.993,0.8889,0.0,0.0435
group_split,RF (group),123,0.9985,0.8333,0.9998,0.9957,0.978,0.9962,0.9987,0.0,0.9609,0.9912,0.7963,0.1667,0.3623
group_split,MLP (group),123,0.9396,0.1667,0.9989,0.9928,0.9986,0.9962,0.9961,0.0,0.875,0.9877,0.4383,0.0,0.7826
group_split,Image-CNN (group),123,0.8626,0.1667,0.9926,0.9942,0.9945,0.8154,0.9974,0.0,0.875,0.993,0.5679,0.0,0.4928
group_split,LSTM (group),123,0.9972,0.1667,0.9967,0.9957,0.9986,0.9962,1.0,0.0,0.9219,0.9982,0.8704,0.8333,0.6957
group_split,GRU (group),123,0.991,0.1667,0.9955,0.9986,0.9972,0.9962,0.9987,0.0,0.9141,0.993,0.6852,1.0,0.8841
group_split,1D-CNN (group),123,0.9975,0.1667,0.9919,0.9871,1.0,0.9962,0.9961,0.0,0.8203,0.993,0.7963,0.6667,0.8696
group_split,Transformer (group),123,0.964,0.0,0.9787,0.9324,0.9146,0.9885,1.0,0.0,0.7891,0.0035,0.9877,0.0,0.0
group_split,Transformer-small (group),123,0.8942,0.0,0.9948,0.9827,0.9986,0.9885,0.9987,0.0,0.8203,0.9894,0.9568,0.0,0.3333
