accuracy,f1_macro,f1_weighted,recall_macro,precision_macro,train_seconds,fpr,fnr,roc_auc,pr_auc,experiment,model,seed,wall_seconds
0.8539,0.4239,0.8997,0.7057,0.3525,753.52,0.1631,0.0031,,,group_split,SVM (group),2,753.66
0.998,0.8197,0.998,0.8227,0.8715,3.67,0.0013,0.002,0.9907,0.874,group_split,RF (group),2,4.56
0.9285,0.5223,0.9496,0.7754,0.4402,47.0,0.0794,0.0008,0.981,0.6596,group_split,MLP (group),2,56.91
0.8291,0.4085,0.8831,0.7268,0.3367,36.64,0.1906,0.002,0.9555,0.6076,group_split,Image-CNN (group),2,47.53
0.9951,0.7758,0.996,0.8554,0.735,57.3,0.003,0.0008,0.9987,0.8371,group_split,LSTM (group),2,69.7
0.9967,0.7967,0.997,0.8609,0.7613,123.81,0.0024,0.0009,0.9979,0.8505,group_split,GRU (group),2,136.1
0.9963,0.7259,0.9967,0.7749,0.7024,49.91,0.0015,0.0014,0.9894,0.747,group_split,1D-CNN (group),2,61.37
0.9829,0.6131,0.9856,0.7336,0.5526,228.67,0.0156,0.0005,0.9951,0.6859,group_split,Transformer (group),2,255.33
0.9564,0.3845,0.9629,0.5843,0.3358,243.35,0.0348,0.0534,0.9824,0.6031,group_split,Transformer-small (group),2,270.06
0.8525,0.3821,0.8993,0.7667,0.316,734.4,0.1649,0.0021,,,group_split,SVM (group),42,734.56
0.9981,0.7415,0.9981,0.7566,0.7298,3.82,0.0014,0.0017,0.9795,0.8432,group_split,RF (group),42,4.78
0.9329,0.5189,0.9505,0.7988,0.4444,53.7,0.0746,0.0013,0.8984,0.6454,group_split,MLP (group),42,63.8
0.8984,0.4174,0.9297,0.7216,0.3447,48.72,0.1128,0.0033,0.951,0.5801,group_split,Image-CNN (group),42,59.87
0.9975,0.7172,0.9979,0.8317,0.6995,131.96,0.002,0.0005,0.9873,0.832,group_split,LSTM (group),42,144.45
0.9954,0.7007,0.9963,0.8471,0.6673,136.85,0.0041,0.0005,0.9635,0.8283,group_split,GRU (group),42,149.26
0.9979,0.7273,0.9979,0.8104,0.7012,85.32,0.0013,0.0007,0.9212,0.7542,group_split,1D-CNN (group),42,96.85
0.972,0.5846,0.9792,0.6833,0.5561,245.14,0.0303,0.0009,0.9713,0.6949,group_split,Transformer (group),42,272.01
0.9526,0.3478,0.9626,0.5232,0.3212,243.14,0.0401,0.0277,0.9464,0.461,group_split,Transformer-small (group),42,270.15
0.8755,0.3813,0.9126,0.6439,0.3143,647.27,0.1387,0.0038,,,group_split,SVM (group),123,647.41
0.9977,0.7737,0.9978,0.7752,0.7864,3.71,0.0015,0.0022,0.9595,0.772,group_split,RF (group),123,4.68
0.9453,0.5308,0.962,0.7056,0.463,49.8,0.0604,0.001,0.9322,0.5983,group_split,MLP (group),123,58.51
0.8763,0.3896,0.9154,0.6732,0.3228,52.72,0.1374,0.0057,0.9341,0.5857,group_split,Image-CNN (group),123,62.56
0.9967,0.7645,0.9975,0.8054,0.7419,103.63,0.0028,0.0006,0.9792,0.7986,group_split,LSTM (group),123,116.3
0.991,0.7098,0.9925,0.8169,0.6634,91.93,0.009,0.0008,0.9896,0.7853,group_split,GRU (group),123,104.59
0.9964,0.7465,0.9967,0.7909,0.7191,51.6,0.0025,0.0008,0.9558,0.781,group_split,1D-CNN (group),123,62.38
0.9601,0.4496,0.9686,0.5814,0.411,237.86,0.036,0.0385,0.9831,0.531,group_split,Transformer (group),123,264.53
0.9051,0.4144,0.9332,0.689,0.3363,240.92,0.1058,0.0002,0.9667,0.6565,group_split,Transformer-small (group),123,269.1
