T,Model,latency_ms_mean,latency_ms_std,n_repeats
5,LSTM,0.13212980702519417,0.0032901353304692093,20
5,GRU,0.12246137484908104,0.002621599919808937,20
5,1D-CNN,0.08597234264016151,0.0017805279094691383,20
5,Transformer,0.646232720464468,0.00895460321956884,20
10,LSTM,0.13152295723557472,0.0037794930587566103,20
10,GRU,0.121246837079525,0.0026855436978176325,20
10,1D-CNN,0.08850777521729469,0.0034932130690579727,20
10,Transformer,1.0129236616194248,0.009579224538708981,20
20,LSTM,0.13491399586200714,0.0008931226113499079,20
20,GRU,0.11764038354158401,0.0009237933460927693,20
20,1D-CNN,0.08730702102184296,0.003293316002789534,20
20,Transformer,1.7315697856247425,0.006756129916472306,20
30,LSTM,0.13641035184264183,0.0013624563748790305,20
30,GRU,0.1248558983206749,0.002129054265974364,20
30,1D-CNN,0.08772844448685646,0.00221439391110534,20
30,Transformer,2.456414606422186,0.012480449502507459,20
50,LSTM,0.13984115794301033,0.0013954712646781727,20
50,GRU,0.1275516115128994,0.002576697272399431,20
50,1D-CNN,0.08533243089914322,0.0013780640059681741,20
50,Transformer,3.8946647197008133,0.02436144879440838,20
