experiment,model,n_seeds,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,recall_macro_mean,recall_macro_std,precision_macro_mean,precision_macro_std,fpr_mean,fpr_std,fnr_mean,fnr_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,train_seconds_mean,train_seconds_std
random,LSTM,3,0.9985,0.0003,0.7756,0.0171,0.9988,0.0002,0.87,0.0063,0.7487,0.0201,0.0009,0.0004,0.0002,0.0001,0.9753,0.0251,0.8623,0.0162,128.8267,5.3595
random,Transformer,3,0.9989,0.0002,0.775,0.0147,0.999,0.0001,0.8237,0.0319,0.7571,0.0154,0.0004,0.0001,0.0005,0.0002,0.9904,0.0044,0.8032,0.023,515.46,25.4326
random,RF,3,0.9978,0.0001,0.7689,0.0105,0.9979,0.0001,0.7802,0.013,0.7653,0.0143,0.0016,0.0001,0.002,0.0004,0.9859,0.0229,0.7891,0.0086,3.79,0.1905
random,GRU,3,0.9974,0.0006,0.7624,0.0375,0.9979,0.0004,0.8537,0.0316,0.7381,0.0391,0.002,0.0008,0.0004,0.0002,0.9745,0.0243,0.8311,0.0432,119.23,4.9631
random,1D-CNN,3,0.997,0.0011,0.7543,0.0308,0.9975,0.0008,0.8671,0.0338,0.7304,0.0397,0.0024,0.0011,0.0004,0.0003,0.96,0.0389,0.8224,0.0288,76.5333,10.6451
random,Transformer-small,3,0.9968,0.0018,0.6852,0.0586,0.9971,0.0017,0.7472,0.0711,0.657,0.0625,0.0021,0.0016,0.0007,0.0002,0.987,0.007,0.7231,0.0535,373.6933,175.3035
random,MLP,3,0.943,0.0096,0.5055,0.011,0.9603,0.0057,0.7698,0.0269,0.4367,0.0116,0.0624,0.0105,0.0022,0.0019,0.9661,0.0387,0.6226,0.0083,42.8,4.6419
random,SVM,3,0.8716,0.007,0.388,0.0043,0.9105,0.0041,0.6844,0.026,0.3211,0.0041,0.1431,0.0079,0.0024,0.0004,,,,,831.66,65.4326
random,Image-CNN,3,0.8321,0.0456,0.3435,0.0614,0.8724,0.0415,0.6525,0.0851,0.3025,0.0348,0.1853,0.0505,0.0088,0.0122,0.9654,0.0215,0.5056,0.057,31.0467,10.3958
static15,RF-15,3,0.992,0.001,0.8007,0.0298,0.9939,0.0006,0.9086,0.027,0.7635,0.0331,0.0094,0.0012,0.0006,0.0001,0.9983,0.0017,0.8576,0.0044,4.8033,0.0153
static15,MLP-15,3,0.8709,0.012,0.4869,0.0111,0.9041,0.0101,0.8561,0.0122,0.4249,0.0232,0.1593,0.0152,0.0015,0.001,0.9934,0.0014,0.6608,0.0136,30.4667,0.491
static15,CNN-image-15,3,0.8751,0.0121,0.4768,0.0311,0.9078,0.0092,0.8484,0.0166,0.4123,0.0284,0.1532,0.015,0.0039,0.0026,0.9946,0.0011,0.6613,0.0063,25.5033,0.3331
static15,SVM-15,3,0.81,0.0218,0.3632,0.0234,0.8568,0.0164,0.8053,0.0197,0.3036,0.0196,0.2348,0.0273,0.0011,0.0001,,,,,1605.8433,263.9064
padding_zp,LSTM-ZP,3,0.9976,0.0005,0.7589,0.0107,0.9981,0.0003,0.9109,0.0422,0.7285,0.0092,0.0019,0.0005,0.0002,0.0001,0.9986,0.0017,0.8812,0.021,130.38,13.4118
padding_zp,GRU-ZP,3,0.9961,0.0012,0.7434,0.0127,0.997,0.0007,0.9141,0.0428,0.7069,0.01,0.0034,0.0012,0.0004,0.0003,0.9973,0.0031,0.8342,0.0282,126.7667,13.4624
