accuracy,f1_macro,f1_weighted,recall_macro,precision_macro,train_seconds,fpr,fnr,roc_auc,pr_auc,experiment,model,seed,wall_seconds
0.9968,0.8536,0.9969,0.9041,0.8193,39.27,0.0002,0.0,0.9996,0.9191,nopad,LSTM-NoPad,2,65.17
0.9971,0.8378,0.9972,0.9117,0.8058,32.56,0.0001,0.0,0.9981,0.913,nopad,LSTM-NoPad,42,58.64
0.9975,0.8623,0.9975,0.8751,0.8524,37.87,0.0001,0.0,0.9997,0.8951,nopad,LSTM-NoPad,123,63.9
0.9971,0.8552,0.9971,0.8977,0.8256,39.51,0.0007,0.0,0.9998,0.9246,nopad,GRU-NoPad,2,65.25
0.9971,0.8463,0.9972,0.9163,0.8154,39.23,0.0004,0.0,0.9997,0.9139,nopad,GRU-NoPad,42,64.98
0.9971,0.8656,0.9972,0.912,0.8374,39.55,0.0002,0.0,0.9998,0.9059,nopad,GRU-NoPad,123,65.38
0.9971,0.8275,0.9971,0.8486,0.8155,36.96,0.0002,0.0,0.998,0.8478,nopad,1D-CNN-NoPad,2,63.68
0.9966,0.803,0.9967,0.8677,0.7847,35.09,0.0003,0.0,0.9976,0.8328,nopad,1D-CNN-NoPad,42,61.38
0.9971,0.8345,0.9971,0.85,0.8229,40.38,0.0001,0.0,0.9986,0.8725,nopad,1D-CNN-NoPad,123,66.7
0.9979,0.9158,0.998,0.9181,0.9148,168.58,0.0004,0.0,0.9998,0.9337,nopad,Transformer-NoPad,2,210.9
0.9978,0.8709,0.9979,0.8836,0.8616,199.79,0.0004,0.0,0.9998,0.8924,nopad,Transformer-NoPad,42,244.11
0.9981,0.8915,0.9981,0.9258,0.8764,231.91,0.0001,0.0,0.9998,0.883,nopad,Transformer-NoPad,123,271.19
0.9968,0.8275,0.9968,0.8287,0.8416,162.15,0.0007,0.0,0.9997,0.8649,nopad,Transformer-small-NoPad,2,204.4
0.9976,0.7859,0.9976,0.7988,0.7796,165.17,0.0003,0.0,0.9997,0.8483,nopad,Transformer-small-NoPad,42,206.86
0.9975,0.8646,0.9975,0.8793,0.8558,209.97,0.0004,0.0,0.9997,0.8729,nopad,Transformer-small-NoPad,123,246.92
