experiment,model,seed,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS slowloris,FTP-Patator,Infiltration,PortScan,SSH-Patator,Web Attack – Brute Force,Web Attack – Sql Injection,Web Attack – XSS
padding_zp,LSTM-ZP,2,0.9991,0.0755,0.9985,0.9949,0.9903,0.99,0.9949,0.0,0.84,0.9483,0.8389,0.6,0.619
padding_zp,LSTM-ZP,42,0.9988,0.0455,0.9975,0.9892,0.9869,0.9933,0.9961,0.05,0.8018,0.9738,0.8221,0.4615,0.6016
padding_zp,LSTM-ZP,123,0.9993,0.1026,0.9984,0.9949,0.9869,0.995,0.9968,0.1818,0.8528,0.9608,0.8171,0.5455,0.56
padding_zp,GRU-ZP,2,0.9985,0.0597,0.9974,0.9964,0.9781,0.9917,0.9785,0.0,0.7203,0.9167,0.8415,0.375,0.6457
padding_zp,GRU-ZP,42,0.9988,0.0635,0.9984,0.9913,0.9849,0.9917,0.9917,0.2222,0.7607,0.9367,0.8401,0.4286,0.6202
padding_zp,GRU-ZP,123,0.9976,0.0233,0.9975,0.9899,0.9795,0.99,0.9854,0.0526,0.7644,0.9312,0.8038,0.6,0.5507
padding_zp,1D-CNN-ZP,2,0.9987,0.1311,0.9927,0.973,0.9762,0.9917,0.9699,0.0,0.5448,0.9679,0.7189,0.3158,0.6215
padding_zp,1D-CNN-ZP,42,0.9977,0.0625,0.9843,0.9198,0.9689,0.9849,0.9432,0.0,0.4473,0.9854,0.7099,0.2353,0.5629
padding_zp,1D-CNN-ZP,123,0.9992,0.1231,0.9972,0.984,0.9782,0.9967,0.9835,0.069,0.7415,0.9922,0.8309,0.4,0.5179
padding_zp,Transformer-ZP,2,0.982,0.0,0.9444,0.8577,0.3715,0.8912,0.9968,0.0,0.1982,0.9358,0.6845,0.0,0.5202
padding_zp,Transformer-ZP,42,0.9904,0.0,0.9747,0.8712,0.962,0.9107,0.0,0.0,0.2468,0.9913,0.5238,0.0,0.1403
padding_zp,Transformer-ZP,123,0.9865,0.0,0.9803,0.9025,0.9039,0.8177,0.9755,0.0,0.1009,0.5201,0.5065,0.0,0.0714
padding_zp,Transformer-small-ZP,2,0.9671,0.0,0.9535,0.7573,0.847,0.2664,0.4566,0.0,0.0621,0.8621,0.6148,0.0,0.4252
padding_zp,Transformer-small-ZP,42,0.9501,0.0,0.9592,0.8393,0.9042,0.2001,0.0008,0.0,0.0195,0.0,0.0891,0.0,0.0487
padding_zp,Transformer-small-ZP,123,0.9719,0.0087,0.9819,0.2774,0.8984,0.9733,0.0103,0.0,0.3189,0.0,0.796,0.0,0.0015
