accuracy,f1_macro,f1_weighted,recall_macro,precision_macro,train_seconds,fpr,fnr,roc_auc,pr_auc,experiment,model,seed,wall_seconds
0.9977,0.7607,0.9981,0.8624,0.732,141.82,0.0018,0.0003,0.9966,0.8654,padding_zp,LSTM-ZP,2,177.04
0.997,0.7475,0.9978,0.9384,0.7181,133.7,0.0024,0.0001,0.9994,0.8732,padding_zp,LSTM-ZP,42,168.9
0.998,0.7686,0.9983,0.932,0.7354,115.62,0.0014,0.0002,0.9998,0.905,padding_zp,LSTM-ZP,123,150.98
0.9964,0.7307,0.9971,0.865,0.6962,128.68,0.003,0.0006,0.9937,0.8421,padding_zp,GRU-ZP,2,163.79
0.9971,0.756,0.9977,0.9431,0.716,139.17,0.0025,0.0001,0.9991,0.8576,padding_zp,GRU-ZP,42,174.39
0.9948,0.7435,0.9963,0.9343,0.7084,112.45,0.0048,0.0004,0.9991,0.8029,padding_zp,GRU-ZP,123,147.56
0.9961,0.7079,0.9966,0.8592,0.6763,44.83,0.0025,0.0005,0.9935,0.7984,padding_zp,1D-CNN-ZP,2,76.94
0.9937,0.6771,0.9944,0.8023,0.6452,38.38,0.0046,0.0006,0.9139,0.7717,padding_zp,1D-CNN-ZP,42,70.24
0.9977,0.7395,0.998,0.8956,0.7137,57.2,0.0014,0.0006,0.9994,0.8259,padding_zp,1D-CNN-ZP,123,89.06
0.9649,0.5679,0.9729,0.7004,0.5268,230.93,0.035,0.0032,0.9913,0.6926,padding_zp,Transformer-ZP,2,276.84
0.98,0.5086,0.9803,0.5987,0.5124,268.56,0.0122,0.0539,0.9614,0.6505,padding_zp,Transformer-ZP,42,314.73
0.9732,0.5204,0.9807,0.6693,0.4704,232.66,0.0265,0.0006,0.9791,0.5963,padding_zp,Transformer-ZP,123,278.56
0.9409,0.4779,0.9573,0.6874,0.4429,186.27,0.0637,0.001,0.9568,0.5697,padding_zp,Transformer-small-ZP,2,230.43
0.9015,0.3085,0.9357,0.4728,0.2954,172.81,0.0931,0.017,0.9416,0.4467,padding_zp,Transformer-small-ZP,42,217.14
0.9452,0.4029,0.957,0.5514,0.4305,215.55,0.0481,0.0542,0.9922,0.5959,padding_zp,Transformer-small-ZP,123,259.96
