experiment,model,seed,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS slowloris,FTP-Patator,Infiltration,PortScan,SSH-Patator,Web Attack – Brute Force,Web Attack – Sql Injection,Web Attack – XSS
random,SVM,2,0.9248,0.0033,0.9202,0.6556,0.1768,0.4044,0.7851,0.0,0.2865,0.2603,0.5697,0.0128,0.0087
random,SVM,42,0.9175,0.0025,0.9179,0.6617,0.1813,0.555,0.7784,0.0,0.2593,0.2623,0.5624,0.0102,0.0
random,SVM,123,0.9259,0.0027,0.9214,0.7067,0.1791,0.4636,0.7749,0.0,0.1896,0.2654,0.5753,0.0,0.01
random,RF,2,0.9991,0.6,0.9992,0.9942,0.9231,0.9983,0.9961,0.0,0.9451,0.994,0.7466,0.3333,0.3107
random,RF,42,0.999,0.6667,0.9988,0.9956,0.9125,0.9883,0.9949,0.0,0.9605,0.9948,0.7853,0.4,0.3529
random,RF,123,0.9992,0.4,0.999,0.9921,0.9268,0.9966,0.9974,0.0,0.9609,0.9948,0.7444,0.8,0.2857
random,MLP,2,0.9624,0.022,0.9871,0.8222,0.2014,0.7905,0.7571,0.0,0.6097,0.7259,0.125,0.0,0.4122
random,MLP,42,0.9667,0.0256,0.9886,0.8335,0.2246,0.8994,0.7545,0.0,0.626,0.7402,0.2197,0.0364,0.3794
random,MLP,123,0.9737,0.0151,0.9894,0.8908,0.3061,0.8697,0.8499,0.0,0.6043,0.574,0.1356,0.0222,0.3719
random,Image-CNN,2,0.863,0.0,0.6352,0.5024,0.2157,0.5025,0.4143,0.0,0.1299,0.1463,0.0909,0.0,0.2547
random,Image-CNN,42,0.904,0.0,0.7683,0.6834,0.2114,0.3628,0.4157,0.0,0.1706,0.162,0.6055,0.0,0.0294
random,Image-CNN,123,0.9232,0.0058,0.9356,0.735,0.1825,0.6373,0.5162,0.0,0.5936,0.2054,0.1238,0.1333,0.3375
random,LSTM,2,0.9995,0.1231,0.9982,0.9949,0.9903,0.9983,0.9949,0.0,0.8571,0.9914,0.8452,0.8571,0.6901
random,LSTM,42,0.9997,0.2162,0.9985,0.992,0.9903,0.995,0.9994,0.0,0.8325,0.9931,0.8447,0.4615,0.629
random,LSTM,123,0.9993,0.0941,0.9985,0.9949,0.9903,0.995,0.9961,0.0,0.8203,0.9922,0.8354,0.6,0.6423
random,GRU,2,0.9994,0.1818,0.9972,0.9942,0.9828,0.9884,0.9961,0.0,0.8173,0.9656,0.8375,1.0,0.7007
random,GRU,42,0.9988,0.0976,0.9973,0.9801,0.9862,0.995,0.9885,0.0,0.7748,0.9838,0.8385,0.4286,0.6716
random,GRU,123,0.9987,0.062,0.9977,0.9835,0.9829,0.995,0.993,0.0,0.8788,0.973,0.8153,0.2222,0.6294
random,1D-CNN,2,0.9994,0.1404,0.9983,0.9957,0.9876,0.995,0.9897,0.0,0.8497,0.9597,0.8,1.0,0.4786
random,1D-CNN,42,0.9983,0.0519,0.996,0.9878,0.9794,0.9966,0.9778,0.0,0.5441,0.9342,0.8357,0.4615,0.6306
random,1D-CNN,123,0.9986,0.0491,0.9979,0.9949,0.9876,0.9933,0.9866,0.125,0.8195,0.9383,0.7975,0.5714,0.5692
random,Transformer,2,0.9997,0.2286,0.9986,0.9957,0.9931,0.995,0.9987,0.0,0.9016,0.9804,0.8344,0.6667,0.6714
random,Transformer,42,0.9998,0.0,0.9986,0.9885,0.9916,0.995,0.9961,0.0,0.9072,0.9957,0.872,0.4444,0.6929
random,Transformer,123,0.9997,0.2759,0.9989,0.9913,0.9917,0.995,0.9974,0.0,0.9355,0.9764,0.8129,0.5,0.6074
random,Transformer-small,2,0.9994,0.1622,0.9972,0.9731,0.9518,0.9369,0.9994,0.0,0.7925,0.9854,0.8163,0.0,0.448
random,Transformer-small,42,0.9993,0.0741,0.9973,0.9772,0.9835,0.9883,0.9873,0.0,0.8252,0.9897,0.7989,0.3333,0.6271
random,Transformer-small,123,0.9979,0.0,0.9939,0.9538,0.9476,0.9623,0.9428,0.0,0.558,0.9136,0.7494,0.0,0.062
