experiment,model,seed,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS slowloris,FTP-Patator,Infiltration,PortScan,SSH-Patator,Web Attack – Brute Force,Web Attack – Sql Injection,Web Attack – XSS
random,SVM,2,0.8605,0.4,0.9991,0.9491,0.9694,0.9799,0.9948,0.0,0.5495,0.9896,0.8631,0.3333,0.0175
random,SVM,42,0.8478,0.8,0.9989,0.9622,0.9777,0.9365,0.9948,0.0,0.5385,0.9948,0.8452,0.3333,0.0
random,SVM,123,0.8623,0.4,0.9981,0.9753,0.9694,0.99,0.9974,0.0,0.4615,0.9965,0.8869,0.0,0.0175
random,RF,2,0.9985,0.6,0.9994,0.9985,0.9861,0.9967,0.9974,0.0,0.9451,0.9965,0.8155,0.3333,0.2807
random,RF,42,0.9983,0.8,0.9995,0.9971,0.9875,0.9866,0.9974,0.0,0.9341,1.0,0.8274,0.3333,0.3684
random,RF,123,0.9985,0.6,0.9997,0.9985,0.9875,0.9933,1.0,0.0,0.9451,1.0,0.7976,0.6667,0.2632
random,MLP,2,0.9281,0.8,0.994,0.9884,0.9972,0.9967,0.9935,0.0,0.9011,0.9758,0.1131,0.0,0.9474
random,MLP,42,0.9357,0.8,0.9994,0.9971,0.9875,0.9866,0.9897,0.0,0.9011,0.9931,0.2321,0.6667,0.8421
random,MLP,123,0.9489,0.8,0.9985,0.984,0.9833,0.9933,0.9974,0.0,0.9231,0.9965,0.1667,0.3333,0.9298
random,Image-CNN,2,0.7591,0.0,0.9983,0.9884,0.5696,0.8261,0.9961,0.0,0.8681,0.9896,0.0476,0.0,0.9474
random,Image-CNN,42,0.8273,0.0,0.9986,0.9709,0.539,0.8027,0.9974,0.0,0.7143,0.9948,0.8452,0.0,0.0175
random,Image-CNN,123,0.8576,0.8,0.9933,0.9855,0.9791,0.8227,0.9987,0.0,0.9231,0.9965,0.1131,0.3333,0.9474
random,LSTM,2,0.9991,0.8,0.9972,1.0,1.0,0.9967,1.0,0.0,0.956,1.0,0.7798,1.0,0.8596
random,LSTM,42,0.9995,0.8,0.9977,0.9971,0.993,0.99,0.9987,0.0,0.956,1.0,0.8095,1.0,0.6842
random,LSTM,123,0.9987,0.8,0.9979,0.9942,0.9972,0.9967,1.0,0.0,0.978,0.9965,0.7857,1.0,0.7719
random,GRU,2,0.9989,0.8,0.9955,1.0,0.9972,0.9967,0.9948,0.0,0.9341,0.9965,0.7976,1.0,0.8421
random,GRU,42,0.9976,0.8,0.9964,1.0,0.9958,0.9933,0.9974,0.0,0.9451,0.9983,0.8036,1.0,0.7895
random,GRU,123,0.9975,0.8,0.9964,0.9971,1.0,0.9933,1.0,0.0,0.956,0.9983,0.7619,0.3333,0.7895
random,1D-CNN,2,0.9988,0.8,0.9975,1.0,1.0,1.0,0.9961,0.0,0.9011,0.9896,0.8095,1.0,0.4912
random,1D-CNN,42,0.9967,0.8,0.9949,0.9971,0.993,0.9933,0.9961,0.0,0.8132,0.9948,0.8631,1.0,0.614
random,1D-CNN,123,0.9973,0.8,0.9977,0.9985,0.9986,0.9967,1.0,1.0,0.9231,1.0,0.75,0.6667,0.6491
random,Transformer,2,0.9995,0.8,0.9977,1.0,0.9972,0.9933,0.9974,0.0,0.956,0.9965,0.7798,0.6667,0.8246
random,Transformer,42,0.9997,0.0,0.9979,0.9985,0.9903,0.9933,1.0,0.0,0.967,0.9983,0.8512,0.6667,0.7719
random,Transformer,123,0.9995,0.8,0.9983,0.9985,0.9972,0.9967,1.0,0.0,0.956,1.0,0.75,0.6667,0.7193
random,Transformer-small,2,0.9989,0.6,0.9958,0.9985,0.9499,0.9933,0.9987,0.0,0.9231,0.9948,0.8333,0.0,0.4912
random,Transformer-small,42,0.9987,0.2,0.9964,0.9985,0.9944,0.9866,1.0,0.0,0.9341,0.9965,0.8512,1.0,0.6491
random,Transformer-small,123,0.996,0.0,0.9914,0.9898,0.9958,0.9398,0.9987,0.0,0.8462,0.9965,0.9345,0.0,0.0702
