accuracy,f1_macro,f1_weighted,recall_macro,precision_macro,train_seconds,fpr,fnr,roc_auc,pr_auc,experiment,model,seed,wall_seconds
0.8748,0.3853,0.9122,0.6851,0.3182,903.47,0.1395,0.0026,,,random,SVM,2,919.01
0.8636,0.3929,0.9058,0.71,0.3258,816.1,0.1522,0.0019,,,random,SVM,42,831.66
0.8765,0.3857,0.9135,0.6581,0.3193,775.41,0.1377,0.0026,,,random,SVM,123,790.83
0.9979,0.7569,0.9979,0.7652,0.7506,3.9,0.0015,0.0023,0.9594,0.7792,random,RF,2,20.22
0.9977,0.773,0.9978,0.7869,0.766,3.57,0.0017,0.0021,0.9995,0.7949,random,RF,42,19.81
0.9979,0.7767,0.9979,0.7885,0.7792,3.9,0.0015,0.0015,0.9987,0.7932,random,RF,123,20.22
0.9342,0.4935,0.955,0.7412,0.4242,48.16,0.0719,0.0044,0.9926,0.6184,random,MLP,2,73.8
0.9416,0.515,0.9596,0.7947,0.447,40.14,0.0643,0.0011,0.9217,0.6321,random,MLP,42,64.52
0.9532,0.5079,0.9663,0.7734,0.439,40.1,0.0511,0.001,0.984,0.6172,random,MLP,123,64.3
0.7821,0.2888,0.8285,0.6146,0.2965,26.64,0.2409,0.0011,0.9746,0.4878,random,Image-CNN,2,60.7
0.8427,0.3318,0.8778,0.5929,0.2711,23.58,0.1727,0.0229,0.9408,0.4596,random,Image-CNN,42,56.04
0.8714,0.4099,0.9109,0.75,0.3399,42.92,0.1424,0.0024,0.9808,0.5694,random,Image-CNN,123,75.02
0.9985,0.7954,0.9988,0.876,0.7719,133.12,0.0009,0.0002,0.98,0.8741,random,LSTM,2,160.83
0.9988,0.7655,0.9989,0.8635,0.7375,130.54,0.0005,0.0001,0.9481,0.8691,random,LSTM,42,159.19
0.9982,0.766,0.9986,0.8705,0.7368,122.82,0.0013,0.0002,0.9977,0.8438,random,LSTM,123,150.66
0.9981,0.8047,0.9984,0.8733,0.7832,124.61,0.0011,0.0006,0.9911,0.8764,random,GRU,2,151.99
0.997,0.7493,0.9977,0.8705,0.7172,118.25,0.0024,0.0002,0.9466,0.8265,random,GRU,42,146.07
0.997,0.7332,0.9977,0.8172,0.7138,114.83,0.0025,0.0003,0.9857,0.7904,random,GRU,123,142.66
0.9981,0.7842,0.9983,0.8449,0.7699,87.21,0.0012,0.0007,0.9586,0.8539,random,1D-CNN,2,114.32
0.996,0.7226,0.9968,0.8505,0.6905,65.92,0.0033,0.0004,0.9218,0.7975,random,1D-CNN,42,91.89
0.9968,0.7561,0.9975,0.906,0.7308,76.47,0.0027,0.0002,0.9995,0.8158,random,1D-CNN,123,102.29
0.9989,0.7895,0.999,0.8468,0.7737,508.8,0.0005,0.0006,0.9854,0.8297,random,Transformer,2,563.61
0.9991,0.7601,0.9991,0.7873,0.7433,543.56,0.0003,0.0005,0.9921,0.7897,random,Transformer,42,590.34
0.9988,0.7755,0.9989,0.8371,0.7544,494.02,0.0005,0.0003,0.9938,0.7902,random,Transformer,123,542.6
0.9977,0.6971,0.9979,0.7521,0.6741,379.35,0.0011,0.0005,0.9948,0.7158,random,Transformer-small,2,432.87
0.998,0.737,0.9982,0.8158,0.7092,546.1,0.0013,0.0008,0.9812,0.7798,random,Transformer-small,42,592.35
0.9947,0.6216,0.9951,0.6738,0.5877,195.63,0.004,0.0009,0.9849,0.6736,random,Transformer-small,123,240.67
