experiment,model,seed,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack – Brute Force,Web Attack – Sql Injection,Web Attack – XSS
static15,SVM-15,2,0.8857,0.0318,0.8481,0.7131,0.8428,0.4362,0.4722,0.4024,0.008,0.0037,0.9029,0.1127,0.1336,0.0,0.0062
static15,SVM-15,42,0.8624,0.0317,0.8366,0.6485,0.8089,0.322,0.3842,0.4034,0.0026,0.0025,0.9006,0.1038,0.1317,0.0052,0.0013
static15,SVM-15,123,0.8518,0.0242,0.8666,0.4757,0.8031,0.3183,0.3318,0.3134,0.0125,0.0015,0.8931,0.1007,0.102,0.0012,0.0021
static15,RF-15,2,0.9952,0.236,0.9979,0.9841,0.9898,0.9461,0.9865,0.9888,0.8889,0.8889,0.9962,0.9791,0.6348,0.6667,0.3476
static15,RF-15,42,0.9946,0.1994,0.9976,0.9853,0.9891,0.9416,0.9895,0.9873,0.75,0.6207,0.9968,0.9922,0.6113,0.4,0.2885
static15,RF-15,123,0.9958,0.2672,0.9981,0.9808,0.9899,0.9589,0.9751,0.9812,0.8571,0.5,0.9962,0.9938,0.6633,0.2857,0.3192
static15,MLP-15,2,0.9216,0.0484,0.9867,0.6677,0.8756,0.7517,0.5269,0.4438,1.0,0.0353,0.9002,0.1278,0.0353,0.0,0.0897
static15,MLP-15,42,0.9142,0.0437,0.9902,0.6478,0.8504,0.6827,0.6408,0.576,0.8571,0.0155,0.8983,0.1206,0.0688,0.001,0.0825
static15,MLP-15,123,0.9039,0.0446,0.9071,0.674,0.8438,0.7087,0.5989,0.4311,0.75,0.0097,0.9041,0.1105,0.2127,0.0006,0.0124
static15,CNN-image-15,2,0.9231,0.0455,0.967,0.7347,0.8696,0.7808,0.8047,0.4947,0.5,0.0158,0.8995,0.1163,0.0952,0.0,0.1147
static15,CNN-image-15,42,0.9197,0.0388,0.9684,0.722,0.8713,0.7304,0.7247,0.8021,0.5,0.0295,0.8973,0.117,0.0481,0.0035,0.104
static15,CNN-image-15,123,0.9066,0.0355,0.9687,0.794,0.8314,0.6292,0.7189,0.3872,0.1667,0.013,0.8979,0.1208,0.0729,0.0,0.0746
