accuracy,f1_macro,f1_weighted,recall_macro,precision_macro,train_seconds,fpr,fnr,roc_auc,pr_auc,experiment,model,seed,wall_seconds
0.8339,0.3866,0.875,0.8033,0.3238,1611.24,0.2048,0.0012,,,static15,SVM-15,2,1614.52
0.8049,0.363,0.8522,0.7867,0.3025,1339.28,0.2417,0.001,,,static15,SVM-15,42,1342.54
0.7913,0.3399,0.8432,0.8259,0.2846,1867.01,0.258,0.0011,,,static15,SVM-15,123,1870.25
0.9921,0.8351,0.9939,0.9365,0.8014,4.82,0.0093,0.0006,0.9963,0.8584,static15,RF-15,2,11.98
0.991,0.7829,0.9933,0.8826,0.7492,4.79,0.0106,0.0007,0.9994,0.8616,static15,RF-15,42,11.88
0.9929,0.7842,0.9944,0.9067,0.74,4.8,0.0083,0.0005,0.9992,0.8529,static15,RF-15,123,11.88
0.8822,0.4941,0.9133,0.844,0.4343,31.03,0.1448,0.0026,0.9943,0.6757,static15,MLP-15,2,69.06
0.8721,0.4926,0.9057,0.8561,0.4419,30.13,0.158,0.0007,0.9917,0.6575,static15,MLP-15,42,68.28
0.8583,0.4741,0.8932,0.8683,0.3984,30.24,0.1752,0.0012,0.9941,0.6491,static15,MLP-15,123,68.24
0.8842,0.4908,0.9142,0.8297,0.4254,25.77,0.1413,0.0067,0.9953,0.6676,static15,CNN-image-15,2,67.53
0.8798,0.4985,0.912,0.8613,0.4319,25.61,0.1483,0.0016,0.9933,0.655,static15,CNN-image-15,42,66.79
0.8614,0.4412,0.8972,0.8543,0.3797,25.13,0.1701,0.0034,0.9951,0.6613,static15,CNN-image-15,123,65.92
