experiment,model,seed,BENIGN,Bot
time_split,SVM (time),2,0.9599,0.0
time_split,SVM (time),42,0.9593,0.0
time_split,SVM (time),123,0.9615,0.0
time_split,RF (time),2,0.9999,0.0
time_split,RF (time),42,0.9999,0.0
time_split,RF (time),123,1.0,0.0
time_split,MLP (time),2,1.0,0.0
time_split,MLP (time),42,1.0,0.0
time_split,MLP (time),123,1.0,0.0
time_split,Image-CNN (time),2,1.0,0.0
time_split,Image-CNN (time),42,1.0,0.0
time_split,Image-CNN (time),123,1.0,0.0
time_split,LSTM (time),2,0.9999,0.1333
time_split,LSTM (time),42,0.9999,0.0
time_split,LSTM (time),123,1.0,0.0
time_split,GRU (time),2,0.9998,0.1
time_split,GRU (time),42,0.9999,0.0
time_split,GRU (time),123,0.9999,0.0
time_split,1D-CNN (time),2,0.9998,0.0
time_split,1D-CNN (time),42,0.9998,0.0
time_split,1D-CNN (time),123,0.9999,0.0
time_split,Transformer (time),2,1.0,0.0
time_split,Transformer (time),42,1.0,0.0
time_split,Transformer (time),123,1.0,0.0
time_split,Transformer-small (time),2,1.0,0.0
time_split,Transformer-small (time),42,1.0,0.0
time_split,Transformer-small (time),123,1.0,0.0
