accuracy,f1_macro,f1_weighted,recall_macro,precision_macro,train_seconds,fpr,fnr,roc_auc,pr_auc,experiment,model,seed,wall_seconds
0.9228,0.4799,0.9599,0.4614,0.5,51.48,0.0771,1.0,,,time_split,SVM (time),2,51.56
0.9217,0.4796,0.9593,0.4609,0.5,51.19,0.0782,1.0,,,time_split,SVM (time),42,51.27
0.9258,0.4807,0.9615,0.4629,0.5,47.06,0.0742,1.0,,,time_split,SVM (time),123,47.14
0.9998,0.5,0.9999,0.4999,0.5,0.63,0.0002,1.0,0.4553,0.5,time_split,RF (time),2,0.81
0.9998,0.5,0.9999,0.4999,0.5,0.6,0.0001,1.0,0.4583,0.5,time_split,RF (time),42,0.77
0.9999,0.5,1.0,0.5,0.5,0.63,0.0,1.0,0.9381,0.5001,time_split,RF (time),123,0.82
1.0,0.5,1.0,0.5,0.5,51.41,0.0,1.0,0.9591,0.5002,time_split,MLP (time),2,58.1
1.0,0.5,1.0,0.5,0.5,15.58,0.0,1.0,0.4622,0.5,time_split,MLP (time),42,19.59
1.0,0.5,1.0,0.5,0.5,15.28,0.0,1.0,0.5547,0.5,time_split,MLP (time),123,19.25
1.0,0.5,1.0,0.5,0.5,22.12,0.0,1.0,0.5805,0.5,time_split,Image-CNN (time),2,29.37
1.0,0.5,1.0,0.5,0.5,23.4,0.0,1.0,0.6035,0.5,time_split,Image-CNN (time),42,27.68
1.0,0.5,1.0,0.5,0.5,25.78,0.0,1.0,0.6259,0.5,time_split,Image-CNN (time),123,30.07
0.9998,0.5666,0.9999,0.9999,0.5357,117.13,0.0002,0.0,0.9999,0.5833,time_split,LSTM (time),2,122.23
0.9999,0.5,0.9999,0.5,0.5,87.42,0.0001,1.0,0.9998,0.5556,time_split,LSTM (time),42,92.47
0.9999,0.5,0.9999,0.5,0.5,50.69,0.0001,1.0,0.9994,0.5167,time_split,LSTM (time),123,55.7
0.9997,0.5499,0.9998,0.9998,0.5263,85.66,0.0003,0.0,0.9998,0.5556,time_split,GRU (time),2,90.87
0.9998,0.5,0.9999,0.4999,0.5,58.81,0.0002,1.0,0.9982,0.5053,time_split,GRU (time),42,63.88
0.9998,0.5,0.9999,0.4999,0.5,75.81,0.0001,1.0,0.9997,0.5294,time_split,GRU (time),123,80.88
0.9995,0.4999,0.9997,0.4998,0.5,71.2,0.0005,1.0,0.9977,0.5041,time_split,1D-CNN (time),2,78.22
0.9996,0.4999,0.9998,0.4998,0.5,50.36,0.0003,1.0,0.9919,0.5012,time_split,1D-CNN (time),42,55.26
0.9998,0.5,0.9999,0.4999,0.5,52.68,0.0001,1.0,0.9933,0.5014,time_split,1D-CNN (time),123,57.62
1.0,0.5,1.0,0.5,0.5,209.48,0.0,1.0,0.8557,0.5001,time_split,Transformer (time),2,227.37
1.0,0.5,1.0,0.5,0.5,391.25,0.0,1.0,0.8525,0.5001,time_split,Transformer (time),42,406.5
1.0,0.5,1.0,0.5,0.5,376.82,0.0,1.0,0.0779,0.5,time_split,Transformer (time),123,392.31
1.0,0.5,1.0,0.5,0.5,191.96,0.0,1.0,0.6049,0.5,time_split,Transformer-small (time),2,214.21
1.0,0.5,1.0,0.5,0.5,373.02,0.0,1.0,0.6153,0.5,time_split,Transformer-small (time),42,388.07
1.0,0.5,1.0,0.5,0.5,269.96,0.0,1.0,0.6472,0.5,time_split,Transformer-small (time),123,284.64
