model,seed,T,LR,f1_macro,time_s
1D-CNN,2,5,0.0005,0.674,57.5
1D-CNN,2,10,0.001,0.7515,65.5
1D-CNN,2,20,0.001,0.7525,77.1
1D-CNN,42,5,0.0005,0.6647,57.5
1D-CNN,42,10,0.001,0.7286,64.6
1D-CNN,42,20,0.0005,0.6819,46.0
1D-CNN,123,5,0.001,0.6444,57.6
1D-CNN,123,10,0.001,0.7328,64.2
1D-CNN,123,20,0.0005,0.7662,76.2
GRU,2,5,0.001,0.6733,95.8
GRU,2,10,0.001,0.7444,101.4
GRU,2,20,0.0005,0.803,131.7
GRU,42,5,0.001,0.6449,99.7
GRU,42,10,0.0005,0.7149,115.4
GRU,42,20,0.001,0.7452,130.8
GRU,123,5,0.001,0.6334,97.1
GRU,123,10,0.0005,0.7113,117.5
GRU,123,20,0.001,0.7631,124.4
LSTM,2,5,0.001,0.6607,74.8
LSTM,2,10,0.001,0.7523,126.8
LSTM,2,20,0.001,0.798,139.0
LSTM,42,5,0.001,0.6759,104.1
LSTM,42,10,0.001,0.7399,91.6
LSTM,42,20,0.001,0.7718,110.6
LSTM,123,5,0.001,0.6539,78.2
LSTM,123,10,0.001,0.7278,117.8
LSTM,123,20,0.0005,0.7787,149.6
Transformer,2,5,0.0005,0.6245,194.5
Transformer,2,10,0.0005,0.6878,372.5
Transformer,2,20,0.0005,0.7409,363.6
Transformer,42,5,0.001,0.5503,211.0
Transformer,42,10,0.0005,0.6488,369.5
Transformer,42,20,0.001,0.717,414.6
Transformer,123,5,0.0005,0.6058,226.0
Transformer,123,10,0.0005,0.6868,571.4
Transformer,123,20,0.001,0.7799,778.3
