model,seed,T,LR,f1_macro,time_s
LSTM,2,5,0.001,0.6607,74.8
LSTM,2,5,0.0005,0.6447,78.0
LSTM,2,10,0.001,0.7523,126.8
LSTM,2,10,0.0005,0.7251,130.9
LSTM,2,20,0.001,0.798,139.0
LSTM,2,20,0.0005,0.7896,137.2
LSTM,42,5,0.001,0.6759,104.1
LSTM,42,5,0.0005,0.6261,103.6
LSTM,42,10,0.001,0.7399,91.6
LSTM,42,10,0.0005,0.7194,115.0
LSTM,42,20,0.001,0.7718,110.6
LSTM,42,20,0.0005,0.7649,134.3
LSTM,123,5,0.001,0.6539,78.2
LSTM,123,5,0.0005,0.6333,86.1
LSTM,123,10,0.001,0.7278,117.8
LSTM,123,10,0.0005,0.7124,105.5
LSTM,123,20,0.001,0.7625,110.9
LSTM,123,20,0.0005,0.7787,149.6
GRU,2,5,0.001,0.6733,95.8
GRU,2,5,0.0005,0.6445,94.5
GRU,2,10,0.001,0.7444,101.4
GRU,2,10,0.0005,0.7294,112.1
GRU,2,20,0.001,0.7758,131.1
GRU,2,20,0.0005,0.803,131.7
GRU,42,5,0.001,0.6449,99.7
GRU,42,5,0.0005,0.6126,102.4
GRU,42,10,0.001,0.7105,104.0
GRU,42,10,0.0005,0.7149,115.4
GRU,42,20,0.001,0.7452,130.8
GRU,42,20,0.0005,0.7442,131.2
GRU,123,5,0.001,0.6334,97.1
GRU,123,5,0.0005,0.6313,100.6
GRU,123,10,0.001,0.7049,110.4
GRU,123,10,0.0005,0.7113,117.5
GRU,123,20,0.001,0.7631,124.4
GRU,123,20,0.0005,0.7505,114.6
1D-CNN,2,5,0.001,0.672,60.4
1D-CNN,2,5,0.0005,0.674,57.5
1D-CNN,2,10,0.001,0.7515,65.5
1D-CNN,2,10,0.0005,0.6927,65.2
1D-CNN,2,20,0.001,0.7525,77.1
1D-CNN,2,20,0.0005,0.7404,66.3
1D-CNN,42,5,0.001,0.6476,57.8
1D-CNN,42,5,0.0005,0.6647,57.5
1D-CNN,42,10,0.001,0.7286,64.6
1D-CNN,42,10,0.0005,0.6838,53.0
1D-CNN,42,20,0.001,0.6524,37.9
1D-CNN,42,20,0.0005,0.6819,46.0
1D-CNN,123,5,0.001,0.6444,57.6
1D-CNN,123,5,0.0005,0.6429,57.8
1D-CNN,123,10,0.001,0.7328,64.2
1D-CNN,123,10,0.0005,0.7234,64.7
1D-CNN,123,20,0.001,0.7658,76.4
1D-CNN,123,20,0.0005,0.7662,76.2
Transformer,2,5,0.001,0.5548,274.5
Transformer,2,5,0.0005,0.6245,194.5
Transformer,2,5,0.0001,0.5646,212.7
Transformer,2,10,0.001,0.6678,428.7
Transformer,2,10,0.0005,0.6878,372.5
Transformer,2,10,0.0001,0.566,251.2
Transformer,2,20,0.001,0.7367,588.1
Transformer,2,20,0.0005,0.7409,363.6
Transformer,2,20,0.0001,0.7162,369.0
Transformer,42,5,0.001,0.5503,211.0
Transformer,42,5,0.0005,0.484,143.4
Transformer,42,5,0.0001,0.3676,115.1
Transformer,42,10,0.001,0.6436,357.2
Transformer,42,10,0.0005,0.6488,369.5
Transformer,42,10,0.0001,0.5554,233.5
Transformer,42,20,0.001,0.717,414.6
Transformer,42,20,0.0005,0.6716,292.9
Transformer,42,20,0.0001,0.7121,507.5
Transformer,123,5,0.001,0.5547,223.3
Transformer,123,5,0.0005,0.6058,226.0
Transformer,123,5,0.0001,0.445,132.1
Transformer,123,10,0.001,0.6423,443.4
Transformer,123,10,0.0005,0.6868,571.4
Transformer,123,10,0.0001,0.5469,293.2
Transformer,123,20,0.001,0.7799,778.3
Transformer,123,20,0.0005,0.7653,598.7
Transformer,123,20,0.0001,0.7411,592.2
