model,T,LR,f1_macro_mean,f1_macro_std,n_seeds
1D-CNN,5,0.0005,0.6605333333333333,0.015963186816338796,3
1D-CNN,10,0.001,0.7376333333333333,0.012191116984646339,3
1D-CNN,20,0.0005,0.7294999999999999,0.04319409681889416,3
GRU,5,0.001,0.6505333333333333,0.020537851234570123,3
GRU,10,0.001,0.7199333333333332,0.02137295799212947,3
GRU,20,0.0005,0.7658999999999999,0.03228358716128066,3
LSTM,5,0.001,0.6635,0.011264102272262945,3
LSTM,10,0.001,0.7399999999999999,0.012250306118624122,3
LSTM,20,0.0005,0.7777333333333333,0.012378341299759538,3
Transformer,5,0.0005,0.5714333333333333,0.07629458259492175,3
Transformer,10,0.0005,0.6744666666666667,0.022233608194203013,3
Transformer,20,0.001,0.7445333333333334,0.032173332642630205,3
